quiz_title,category,tags,question_text,options,correct_answer,difficulty_levels
TypeScript Advanced Types,TypeScript,"typescript,types,generics",TypeScript types are erased during compilation and have no runtime cost.,"[""True"", ""False""]",True,"[""medium""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is a mapped type in TypeScript?,"[""A type that transforms properties of an existing type using [P in keyof T] syntax"", ""A type that maps array elements to a new type"", ""A type for JavaScript Map objects"", ""A type that creates a mapping between two interfaces""]",A type that transforms properties of an existing type using [P in keyof T] syntax,"[""hard""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is the 'never' type used for in TypeScript?,"[""Represents values that never occur: unreachable code, exhaustive checks, and impossible types"", ""Represents null or undefined values"", ""A type for empty arrays"", ""A type that disables type checking for a variable""]","Represents values that never occur: unreachable code, exhaustive checks, and impossible types","[""hard""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is a discriminated union in TypeScript?,"[""A union of types sharing a common literal property used for type narrowing"", ""A union type that excludes certain values"", ""A type that discriminates between null and undefined"", ""An enum with string values""]",A union of types sharing a common literal property used for type narrowing,"[""hard""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What does the 'infer' keyword do in conditional types?,"[""Declares a type variable within a conditional type's extends clause for TypeScript to infer"", ""Forces TypeScript to infer all types in a file automatically"", ""Infers the runtime type of a variable"", ""Creates an inference rule for the compiler""]",Declares a type variable within a conditional type's extends clause for TypeScript to infer,"[""expert""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What does the command 'chmod 755 file.sh' do?,"[""Sets permissions: owner rwx, group r-x, others r-x"", ""Makes the file read-only for everyone"", ""Deletes the file permanently"", ""Changes the file owner to user 755""]","Sets permissions: owner rwx, group r-x, others r-x","[""medium""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What does the pipe operator (|) do in Linux?,"[""Passes the output of one command as input to the next command"", ""Runs two commands simultaneously"", ""Redirects output to a file"", ""Creates a symbolic link between commands""]",Passes the output of one command as input to the next command,"[""easy""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What is the difference between a hard link and a symbolic link?,"[""Hard links point to the inode directly; symbolic links point to the file path and can cross filesystems"", ""Hard links are for files; symbolic links are for directories only"", ""They are the same but with different names"", ""Symbolic links are faster; hard links are more secure""]",Hard links point to the inode directly; symbolic links point to the file path and can cross filesystems,"[""hard""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What command displays currently running processes?,"[""ps (with variations like ps aux for all processes)"", ""dir"", ""proc"", ""run""]",ps (with variations like ps aux for all processes),"[""easy""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin","In Linux, everything is treated as a file.","[""True"", ""False""]",True,"[""medium""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What does the 'grep' command do?,"[""Searches for text patterns (regular expressions) in files or input"", ""Compresses files using the GREP algorithm"", ""Groups files by type"", ""Generates reports on file system usage""]",Searches for text patterns (regular expressions) in files or input,"[""easy""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What is the purpose of the /etc directory?,"[""Stores system-wide configuration files"", ""Contains temporary files"", ""Stores user home directories"", ""Contains installed application binaries""]",Stores system-wide configuration files,"[""medium""]"
Linux Command Line Mastery,DevOps/Cloud,"linux,command-line,bash,sysadmin",What does 'sudo' stand for and what does it do?,"[""Superuser Do: executes a command with elevated (root) privileges"", ""System Utility for Disk Operations"", ""Secure User Data Output"", ""Switch User Directory Options""]",Superuser Do: executes a command with elevated (root) privileges,"[""easy""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is CI/CD and why is it important?,"[""Continuous Integration and Continuous Delivery: automating build, test, and deployment pipelines"", ""Code Inspection and Code Debugging: manual review processes"", ""Container Integration and Container Deployment: Docker-specific workflows"", ""Cloud Infrastructure and Cloud Distribution: cloud provider tools""]","Continuous Integration and Continuous Delivery: automating build, test, and deployment pipelines","[""easy""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is Kubernetes and what problem does it solve?,"[""A container orchestration platform that automates deployment, scaling, and management of containerized apps"", ""A container runtime that replaces Docker"", ""A cloud provider like AWS or Azure"", ""A programming language for infrastructure""]","A container orchestration platform that automates deployment, scaling, and management of containerized apps","[""medium""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is Infrastructure as Code (IaC)?,"[""Managing infrastructure through version-controlled configuration files instead of manual setup"", ""Writing code that runs on infrastructure"", ""Converting infrastructure diagrams to documentation"", ""Coding directly on production servers""]",Managing infrastructure through version-controlled configuration files instead of manual setup,"[""medium""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What are the three main cloud service models?,"[""IaaS (Infrastructure), PaaS (Platform), and SaaS (Software) as a Service"", ""Public, Private, and Hybrid cloud"", ""Compute, Storage, and Networking"", ""Development, Staging, and Production""]","IaaS (Infrastructure), PaaS (Platform), and SaaS (Software) as a Service","[""easy""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is a Kubernetes Pod?,"[""The smallest deployable unit: one or more containers sharing network and storage"", ""A virtual machine running in the cluster"", ""A namespace for organizing resources"", ""A network policy for container communication""]",The smallest deployable unit: one or more containers sharing network and storage,"[""hard""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",Terraform is a cloud-specific IaC tool that only works with AWS.,"[""True"", ""False""]",False,"[""easy""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is a blue-green deployment?,"[""Running two identical environments and switching traffic to the new version for zero-downtime releases"", ""Deploying to development (blue) and production (green) simultaneously"", ""Color-coding logs by environment"", ""Running tests in parallel on two different machines""]",Running two identical environments and switching traffic to the new version for zero-downtime releases,"[""hard""]"
DevOps & Cloud Essentials,DevOps/Cloud,"devops,cloud,kubernetes,cicd",What is the purpose of a service mesh in microservices architecture?,"[""A dedicated infrastructure layer handling inter-service communication, security, and observability"", ""A network of physical servers connected by mesh topology"", ""A tool for creating service documentation"", ""A database replication mechanism""]","A dedicated infrastructure layer handling inter-service communication, security, and observability","[""expert""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is the difference between CMD and ENTRYPOINT in a Dockerfile?,"[""CMD provides defaults that can be overridden; ENTRYPOINT configures the container's main executable"", ""They are exactly the same"", ""CMD runs at build time; ENTRYPOINT runs at container start"", ""ENTRYPOINT is deprecated in favor of CMD""]",CMD provides defaults that can be overridden; ENTRYPOINT configures the container's main executable,"[""medium""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is a Docker volume and why is it used?,"[""A mechanism for persisting data outside the container's writable layer, managed by Docker"", ""A way to increase the container's memory"", ""A network configuration file"", ""A container's CPU allocation setting""]","A mechanism for persisting data outside the container's writable layer, managed by Docker","[""easy""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is the difference between COPY and ADD in a Dockerfile?,"[""COPY only copies local files; ADD also supports tar extraction and remote URLs"", ""ADD is faster than COPY"", ""COPY works with directories; ADD only works with files"", ""There is no difference""]",COPY only copies local files; ADD also supports tar extraction and remote URLs,"[""medium""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is a Docker image layer?,"[""A read-only filesystem created by each Dockerfile instruction, cached and shared between images"", ""A running container instance"", ""A Docker network configuration"", ""A security permission level""]","A read-only filesystem created by each Dockerfile instruction, cached and shared between images","[""medium""]"
Docker Interview Questions,DevOps,"docker,containers,devops",Containers share the host OS kernel.,"[""True"", ""False""]",True,"[""easy""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is Docker Compose used for?,"[""Defining and running multi-container applications with a YAML configuration"", ""Building Docker images from source code"", ""Managing Docker Hub repositories"", ""Monitoring container resource usage""]",Defining and running multi-container applications with a YAML configuration,"[""easy""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is the purpose of a .dockerignore file?,"[""Excludes files from the build context to improve performance and security"", ""Lists containers that should not be started"", ""Specifies images that should not be pulled"", ""Defines environment variables to ignore""]",Excludes files from the build context to improve performance and security,"[""easy""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is the difference between docker stop and docker kill?,"[""stop sends SIGTERM for graceful shutdown; kill sends SIGKILL immediately"", ""stop pauses the container; kill removes it"", ""They are identical commands"", ""stop works on running containers; kill works on stopped containers""]",stop sends SIGTERM for graceful shutdown; kill sends SIGKILL immediately,"[""medium""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What is a multi-stage build in Docker?,"[""Using multiple FROM statements to create smaller final images by copying only needed artifacts between stages"", ""Building multiple Docker images simultaneously"", ""Running multiple commands in a single RUN instruction"", ""Deploying to multiple environments at once""]",Using multiple FROM statements to create smaller final images by copying only needed artifacts between stages,"[""hard""]"
Docker Interview Questions,DevOps,"docker,containers,devops",What networking mode gives a container full access to the host's network stack?,"[""host"", ""bridge"", ""overlay"", ""none""]",host,"[""hard""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is the difference between symmetric and asymmetric encryption?,"[""Symmetric uses one shared key; asymmetric uses a public/private key pair"", ""Symmetric is for files; asymmetric is for messages"", ""Symmetric is newer and more secure"", ""They are the same but with different key lengths""]",Symmetric uses one shared key; asymmetric uses a public/private key pair,"[""medium""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is a SQL injection attack?,"[""Inserting malicious SQL code through input fields to manipulate database queries"", ""Overloading a database with too many queries"", ""Stealing SQL source code from a server"", ""Encrypting database tables without authorization""]",Inserting malicious SQL code through input fields to manipulate database queries,"[""medium""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is the CIA triad in cybersecurity?,"[""Confidentiality, Integrity, and Availability"", ""Cryptography, Identity, and Access"", ""Control, Inspection, and Authentication"", ""Classification, Investigation, and Authorization""]","Confidentiality, Integrity, and Availability","[""easy""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is a phishing attack?,"[""A social engineering attack using deceptive communications to steal sensitive information"", ""A technique for bypassing firewalls"", ""A method for cracking passwords using brute force"", ""An attack that floods a server with traffic""]",A social engineering attack using deceptive communications to steal sensitive information,"[""easy""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",HTTPS encrypts data in transit between the browser and server.,"[""True"", ""False""]",True,"[""easy""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is a DDoS attack?,"[""Overwhelming a target with massive traffic from distributed sources to cause unavailability"", ""Stealing distributed data from multiple databases"", ""Distributing malware across a network"", ""Decrypting data distributed across servers""]",Overwhelming a target with massive traffic from distributed sources to cause unavailability,"[""medium""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is multi-factor authentication (MFA)?,"[""Requiring two or more verification factors: something you know, have, or are"", ""Using multiple passwords for the same account"", ""Encrypting authentication tokens multiple times"", ""Authenticating with multiple servers simultaneously""]","Requiring two or more verification factors: something you know, have, or are","[""easy""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is the principle of least privilege?,"[""Granting only the minimum access rights necessary to perform a specific function"", ""Giving all users the same basic privileges"", ""Removing all privileges by default"", ""Granting full access but monitoring usage""]",Granting only the minimum access rights necessary to perform a specific function,"[""medium""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is a zero-day vulnerability?,"[""A security flaw unknown to the vendor with no available patch"", ""A vulnerability that was found and fixed on the same day"", ""An attack that happens at midnight"", ""A vulnerability with zero impact rating""]",A security flaw unknown to the vendor with no available patch,"[""hard""]"
Cybersecurity Fundamentals,Cybersecurity,"cybersecurity,security,encryption,networking",What is Cross-Site Scripting (XSS)?,"[""Injecting malicious scripts into web pages that execute in other users' browsers"", ""Scripting attacks between different websites"", ""Creating cross-platform scripts that exploit OS differences"", ""A technique for bypassing same-origin policy""]",Injecting malicious scripts into web pages that execute in other users' browsers,"[""hard""]"
JavaScript Interview Questions,Programming,"javascript,interview",What is the difference between '==' and '===' in JavaScript?,"[""'==' compares values with type coercion, '===' compares values and types without coercion"", ""'===' compares values with type coercion, '==' compares values and types without coercion"", ""They are identical in behavior"", ""'===' is used only for string comparisons""]","'==' compares values with type coercion, '===' compares values and types without coercion","[""medium""]"
JavaScript Interview Questions,Programming,"javascript,interview",What will `console.log(typeof NaN)` output?,"[""\""number\"""", ""\""NaN\"""", ""\""undefined\"""", ""\""object\""""]","""number""","[""medium""]"
JavaScript Interview Questions,Programming,"javascript,interview",What is a closure in JavaScript?,"[""A function that retains access to its outer (lexical) scope even after the outer function has returned"", ""A function that is immediately invoked after definition"", ""A method to close browser windows via script"", ""A way to make variables private using the 'private' keyword""]",A function that retains access to its outer (lexical) scope even after the outer function has returned,"[""medium""]"
JavaScript Interview Questions,Programming,"javascript,interview",Event delegation in JavaScript relies on event bubbling.,"[""True"", ""False""]",True,"[""medium""]"
Python Basics,Programming,"python,beginner",Python uses indentation to define code blocks instead of curly braces.,"[""True"", ""False""]",True,"[""easy""]"
Python Basics,Programming,"python,beginner",Which of the following creates a dictionary in Python?,"[""{\""key\"": \""value\""}"", ""[\""key\"": \""value\""]"", ""(\""key\"": \""value\"")""]","{""key"": ""value""}","[""easy""]"
Python Basics,Programming,"python,beginner",Python is named after a TV show,"[""True"", ""False""]",True,"[""easy""]"
Python Basics,Programming,"python,beginner",Python was started as a hobby project,"[""True"", ""False""]",True,"[""easy""]"
SQL Interview Questions,Database,"sql,database",What is the difference between INNER JOIN and LEFT JOIN?,"[""INNER JOIN returns only matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right"", ""LEFT JOIN is faster than INNER JOIN"", ""INNER JOIN works on multiple tables; LEFT JOIN works only on two"", ""They produce identical results in all cases""]",INNER JOIN returns only matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right,"[""medium""]"
SQL Interview Questions,Database,"sql,database",What does the HAVING clause do in SQL?,"[""Creates a temporary table for the query"", ""Filters grouped results after GROUP BY, similar to WHERE but for aggregate functions"", ""Orders the result set in ascending order"", ""Limits the number of rows returned""]","Filters grouped results after GROUP BY, similar to WHERE but for aggregate functions","[""medium""]"
SQL Interview Questions,Database,"sql,database","A database index speeds up read queries but can slow down write operations (INSERT, UPDATE, DELETE).","[""True"", ""False""]",True,"[""medium""]"
MongoDB Fundamentals,Database,"mongodb,nosql",How does MongoDB store data?,"[""As BSON (Binary JSON) documents in collections"", ""As rows in relational tables"", ""As key-value pairs in a flat structure"", ""As XML files on disk""]",As BSON (Binary JSON) documents in collections,"[""medium""]"
MongoDB Fundamentals,Database,"mongodb,nosql",Which aggregation stage in MongoDB is used to filter documents?,"[""$match"", ""$group"", ""$project"", ""$sort""]",$match,"[""medium""]"
MongoDB Fundamentals,Database,"mongodb,nosql",MongoDB requires a predefined schema for all documents in a collection.,"[""True"", ""False""]",False,"[""medium""]"
React Interview Questions,Programming,"react,interview,frontend",What is the primary purpose of the useEffect cleanup function?,"[""To clean up side effects like subscriptions, timers, or event listeners when the component unmounts or before re-running the effect"", ""To reset the component's state to its initial value"", ""To clear the browser cache when navigating away"", ""To remove the component from the DOM manually""]","To clean up side effects like subscriptions, timers, or event listeners when the component unmounts or before re-running the effect","[""hard""]"
React Interview Questions,Programming,"react,interview,frontend",Which hook should you use to memoize an expensive computation?,"[""useCallback"", ""useEffect"", ""useRef"", ""useMemo""]",useMemo,"[""hard""]"
React Interview Questions,Programming,"react,interview,frontend","In React, keys should be unique among siblings and stable across re-renders.","[""True"", ""False""]",True,"[""hard""]"
React Interview Questions,Programming,"react,interview,frontend",What happens when you call setState inside useEffect without a dependency array?,"[""It causes an infinite re-render loop"", ""It only runs once on mount"", ""It throws an error at compile time"", ""React batches the updates and runs only once""]",It causes an infinite re-render loop,"[""hard""]"
React Interview Questions,Programming,"react,interview,frontend",What is the primary purpose of the useEffect cleanup function?,"[""To clean up side effects like subscriptions, timers, or event listeners when the component unmounts or before re-running the effect"", ""To reset the component's state to its initial value"", ""To clear the browser cache when navigating away"", ""To remove the component from the DOM manually""]","To clean up side effects like subscriptions, timers, or event listeners when the component unmounts or before re-running the effect","[""hard""]"
React Interview Questions,Programming,"react,interview,frontend",Which hook should you use to memoize an expensive computation?,"[""useMemo"", ""useCallback"", ""useEffect"", ""useRef""]",useMemo,"[""hard""]"
React Interview Questions,Programming,"react,interview,frontend","In React, keys should be unique among siblings and stable across re-renders.","[""True"", ""False""]",True,"[""hard""]"
React Interview Questions,Programming,"react,interview,frontend",What happens when you call setState inside useEffect without a dependency array?,"[""It causes an infinite re-render loop"", ""It only runs once on mount"", ""It throws an error at compile time"", ""React batches the updates and runs only once""]",It causes an infinite re-render loop,"[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,"What is the output of the following code? ```python for i in range(5): if i == 3: break print(i, end=' ') else: print('done') ```","[""0 1 2 done"", ""0 1 2 3"", ""0 1 2"", ""0 1 2 3 done""]",0 1 2,"[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,What does this code print? ```python count = 0 while count 7: break print(count) ```,"[""7"", ""9"", ""10"", ""8""]",8,"[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,What is the output of the following code? ```python x = 15 result = 'fizzbuzz' if x % 15 == 0 else 'fizz' if x % 3 == 0 else 'buzz' if x % 5 == 0 else str(x) print(result) ```,"[""'fizz'"", ""'buzz'"", ""'fizzbuzz'"", ""'15'""]",'fizzbuzz',"[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,"What does this Python 3.8+ code print? ```python data = [1, 2, 3, 4, 5, 6, 7, 8] filtered = [y for x in data if (y := x ** 2) > 10] print(filtered) ```","[""[16, 25, 36, 49, 64]"", ""[4, 5, 6, 7, 8]"", ""[1, 4, 9, 16, 25, 36, 49, 64]"", ""Raises a SyntaxError""]","[16, 25, 36, 49, 64]","[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,What is the output of this code? ```python for i in range(3): pass else: print(i) ```,"[""Raises a NameError because `i` is not defined"", ""2"", ""3"", ""0""]",2,"[""hard""]"
"Python Lists, Tuples & Sequences",Python,python,"What does the following function return? ```python def greet(name, greeting='Hello'): return f'{greeting}, {name}!' result = greet('Alice') ```","[""'Hello, Alice!'"", ""'Alice, Hello!'"", ""A TypeError is raised"", ""'Hello, name!'""]","'Hello, Alice!'","[""easy""]"
"Python Lists, Tuples & Sequences",Python,python,"What is the output of the following code? ```python def accumulate(*args): return sum(args) print(accumulate(1, 2, 3, 4)) ```","[""[1, 2, 3, 4]"", ""10"", ""(1, 2, 3, 4)"", ""A TypeError is raised""]",10,"[""easy""]"
"Python Lists, Tuples & Sequences",Python,python,Which of the following correctly describes `**kwargs` in a Python function signature?,"[""It collects positional arguments into a list"", ""It enforces keyword-only arguments"", ""It collects extra keyword arguments into a dictionary"", ""It unpacks a dictionary into positional arguments""]",It collects extra keyword arguments into a dictionary,"[""easy""]"
"Python Lists, Tuples & Sequences",Python,python,What does this recursive function return when called with `factorial(5)`? ```python def factorial(n): if n <= 1: return 1 return n * factorial(n - 1) ```,"[""25"", ""24"", ""5"", ""120""]",120,"[""easy""]"
"Python Lists, Tuples & Sequences",Python,python,"What happens when a Python function has a mutable default argument? ```python def append_item(item, lst=[]): lst.append(item) return lst print(append_item(1)) print(append_item(2)) ```","[""[1] then [1, 2]"", ""[1] then [2]"", ""[1, 2] then [1, 2]"", ""A TypeError on the second call""]","[1] then [1, 2]","[""medium""]"
Java Core Fundamentals,Programming,"java,oop,collections,basics","Consider the following Java code: ```java interface Flyable { void fly(); } abstract class Bird { abstract void sing(); } class Sparrow extends Bird implements Flyable { void sing() { System.out.println(""Tweet""); } public void fly() { System.out.println(""Flap""); } } ``` Which statement about this code is correct?","[""It won't compile because a class cannot both extend a class and implement an interface"", ""It compiles because a class can extend one class and implement multiple interfaces"", ""It won't compile because fly() must be declared abstract in Flyable"", ""It won't compile because sing() needs the public modifier in Sparrow""]",It compiles because a class can extend one class and implement multiple interfaces,"[""easy""]"
Java Core Fundamentals,Programming,"java,oop,collections,basics","What is the output of the following code? ```java String a = ""hello""; String b = ""hello""; String c = new String(""hello""); System.out.println(a == b); System.out.println(a == c); ```","[""true, true"", ""false, false"", ""true, false"", ""false, true""]","true, false","[""easy""]"
Java Core Fundamentals,Programming,"java,oop,collections,basics",Which access modifier allows a field to be accessed by subclasses in a different package but NOT by unrelated classes in that package?,"[""private"", ""default (package-private)"", ""public"", ""protected""]",protected,"[""easy""]"
Java Core Fundamentals,Programming,"java,oop,collections,basics","What happens when you add a duplicate element to a `HashSet` in Java? ```java Set set = new HashSet(); set.add(""apple""); boolean result = set.add(""apple""); System.out.println(result + "" "" + set.size()); ```","[""false 1 — the duplicate is silently ignored and add() returns false"", ""An IllegalArgumentException is thrown"", ""true 2 — duplicates are allowed in sets"", ""false 2 — it returns false but still adds the element""]",false 1 — the duplicate is silently ignored and add() returns false,"[""easy""]"
